Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Innovaccer,https://www.crunchbase.com/organization/innovaccer,"Analytics, Big Data, Health Care, Machine Learning","Berkeley, California, United States",Healthcare's Big Data Platform,522
Indiegogo,https://www.crunchbase.com/organization/indie-gogo,"Crowdfunding, Finance, FinTech, Funding Platform, Hedge Funds","San Francisco, California, United States",Indiegogo is a global crowdfunding platform empowering people around the world to fund projects that matter to them.,567
Impact ,https://www.crunchbase.com/organization/impact-martech,"Advertising, Analytics, SaaS","Santa Barbara, California, United States","Impact is a marketing technology platform, natively integrating solutions in ad fraud prevention, marketing intelligence & partner marketing",589
Illumio,https://www.crunchbase.com/organization/illumio,"Cloud Security, Cyber Security, Data Center, Enterprise Software, Security","Sunnyvale, California, United States",Illumio stops cyber threats by controlling the lateral movement of unauthorized communications through adaptive segmentation.,615
Intuit,https://www.crunchbase.com/organization/intuit,"Accounting, Consumer, Financial Services, PaaS","Mountain View, California, United States","Intuit offers business and financial management solutions for SMBs, financial institutions, consumers, and accounting professionals.",639
Iron Mountain,https://www.crunchbase.com/organization/iron-mountain,"Big Data, E-Commerce, Security","Boston, Massachusetts, United States",Iron Mountain provides online backup and data protection.,640
Index,https://www.crunchbase.com/organization/index,"Enterprise Software, Personalization, Retail, Retail Technology","San Francisco, California, United States",Index is a retail software company that brings the personalization and measurement of online commerce to the offline world.,702
Improbable,https://www.crunchbase.com/organization/improbable,"Cloud Computing, Gamification, Software","London, England, United Kingdom",Improbable is a London-based startup that has developed a platform for third parties to build vast virtual and simulated worlds.,717
Instructure,https://www.crunchbase.com/organization/instructure,"Cloud Management, EdTech, Education, Enterprise Software","Salt Lake City, Utah, United States",Instructure is a learning technology company and the creator of the Canvas learning management system for K-12 and higher education.,800
Icertis,https://www.crunchbase.com/organization/icertis,"Cloud Data Services, CRM, Enterprise Software, Procurement, SaaS","Bellevue, Washington, United States",The Leading Enterprise Contract Management Platform in the Cloud,807
Idea Cellular,https://www.crunchbase.com/organization/idea-cellular,"Mobile Devices, Telecommunications, Wireless","Mumbai, Maharashtra, India","Idea Cellular is a pan-India integrated GSM operator offering 2G, 3G & 4G services, and has its own NLD and ILD operations, and ISP license.",837
ipsy,https://www.crunchbase.com/organization/personalized-beauty-discovery,"Beauty, Cosmetics, E-Commerce","San Mateo, California, United States",ipsy is an online beauty community that home delivers a box of 5 beauty samples for a monthly subscription fee.,842
iCarbonX,https://www.crunchbase.com/organization/icarbonx,"Artificial Intelligence, Biotechnology, Health Care","Shenzhen, Guangdong, China",iCarbonX is a China-based artificial intelligence platform for health data company.,849
INRIX,https://www.crunchbase.com/organization/inrix,"Analytics, Big Data, Internet of Things, Mobile Apps, Transportation","Kirkland, Washington, United States","INRIX offers real-time traffic information solutions that help develop traffic data and traffic speed for freeways, highways and arterials.",924
Introhive,https://www.crunchbase.com/organization/introhive,"Business Intelligence, CRM, SaaS, Software","Fredericton, New Brunswick, Canada",Introhive is a SaaS-based platform which brings relationship intelligence into your CRM with data automation and sales acceleration,939
Innoviz Technologies,https://www.crunchbase.com/organization/innoviz-technologies,"Automotive, Autonomous Vehicles, GPS, Robotics","Kfar Saba, HaMerkaz, Israel","Innoviz develops technologies for autonomous driving that includes smart 3D sensing, sensor fusion, and accurate mapping and localization.",957
iHeartMedia,https://www.crunchbase.com/organization/clear-channel-communications,"Advertising Platforms, Broadcasting, Outdoor Advertising","San Antonio, Texas, United States",iHeartMedia is a mass media company that provides a range of multiplatform advertising and marketing opportunities.,"1,094"
InsightSquared,https://www.crunchbase.com/organization/insightsquared,"Analytics, Business Intelligence, CRM, Software","Boston, Massachusetts, United States",InsightSquared is a provider of revenue intelligence solutions for high-growth technology companies.,"1,131"
i3 Verticals,https://www.crunchbase.com/organization/charge-payment,"E-Commerce, Financial Services, Transaction Processing","Nashville, Tennessee, United States",i3 Verticals offers businesses with credit and debit card transaction processing services.,"1,139"
Ibotta,https://www.crunchbase.com/organization/ibotta,"Apps, Developer Platform, Mobile","Denver, Colorado, United States",Ibotta develops apps that pay users for reading about products on their phone or tablet before buying them in affiliated retail stores.,"1,141"
Indegy,https://www.crunchbase.com/organization/indegy,"Cyber Security, Industrial, Infrastructure","New York, New York, United States",Indegy provides visibility and security for industrial control networks to ensure operational continuity and reliability,"1,152"
InVisionApp,https://www.crunchbase.com/organization/invisionapp,"Apps, Collaboration, Internet, Mobile, Product Design, SaaS, UX Design","New York, New York, United States",InVision is the Digital Product Design platform used to make the world’s best customer experiences. ,"1,182"
Iceye,https://www.crunchbase.com/organization/iceye,"Information Services, Information Technology","Espoo, Southern Finland, Finland","ICEYE employs new, commercial space technology to provide real-time information services for primarily maritime industry needs.","1,190"
IdentityMind Global,https://www.crunchbase.com/organization/identitymind-global,"Analytics, Compliance, FinTech, Fraud Detection, Identity Management, Risk Management","Palo Alto, California, United States","IdentityMind Global provides a SaaS platform that builds, maintains, and analyzes digital identities worldwide.","1,218"
Impartner,https://www.crunchbase.com/organization/impartner,"Computer, SaaS, Software","South Jordan, Utah, United States","Impartner is an established, independent, and thriving SaaS-based Software Company with innovative solutions tailored","1,262"
IronPlanet,https://www.crunchbase.com/organization/ironplanet,"Agriculture, Construction, Marketplace, Online Auctions, Transportation","Pleasanton, California, United States",IronPlanet is an online marketplace for used heavy equipments.,"1,293"
IP Group Plc,https://www.crunchbase.com/organization/ip-group-plc,"Analytics, Financial Services, Intellectual Property, Venture Capital","London, England, United Kingdom"," IP Group focuses on evolving great ideas, mainly from its partner universities, into world-changing businesses.","1,308"
Invitae,https://www.crunchbase.com/organization/invitae-corporation,"Biotechnology, Genetics, Health Care","San Francisco, California, United States",Reinventing genetic testing by lowering the barriers for clinicians and patients to obtain diagnostic genetic information,"1,363"
Inbenta,https://www.crunchbase.com/organization/inbenta-semantic-search,"Artificial Intelligence, Customer Service, E-Commerce, Semantic Search, Virtual Assistant","Foster City, California, United States","Inbenta is a cloud-based, AI-powered Natural Language Search for customer support and e-commerce.","1,426"
Indeni,https://www.crunchbase.com/organization/indeni,"Data Center Automation, Enterprise Software, IT Management, Network Security","San Francisco, California, United States",Indeni makes it easy to manage the critical network infrastructure of digital businesses.,"1,520"
iguazio,https://www.crunchbase.com/organization/iguaz-io,"Analytics, Big Data, Cloud Data Services, Internet of Things, PaaS, Software","Herzliya, Tel Aviv, Israel","iguazio's Continuous Analytics Data Platform has redesigned the data stack to accelerate performance in big data, IoT and cloud-native apps.","1,578"
Instana,https://www.crunchbase.com/organization/instana,"Analytics, Enterprise Software, Machine Learning","San Francisco, California, United States",Instana is an APM solution that automatically monitors dynamic modern apps.,"1,583"
InSightec,https://www.crunchbase.com/organization/insightec,"Health Care, Medical Device, Therapeutics","Dallas, Texas, United States",InSightec develops and manufactures MR-guided Focused Ultrasound technology devices for image-guided acoustic surgery.,"1,648"
Inky,https://www.crunchbase.com/organization/arcode,"Cyber Security, Email, SaaS","Rockville, Maryland, United States","Inky is a cybersecurity company based in Rockville, Maryland.","1,662"
InMobi,https://www.crunchbase.com/organization/inmobi,"Advertising, Advertising Platforms, Marketing, Mobile","Bangalore, Karnataka, India","InMobi is a mobile-first platform allowing brands, developers, and publishers to engage consumers through mobile advertising.","1,689"
InfluxData,https://www.crunchbase.com/organization/influxdb,"Analytics, Data Visualization, Internet, Internet of Things","San Francisco, California, United States",InfluxData delivers a modern open source platform built from the ground up for metrics and events (time-sensitive data).,"1,754"
Intelex,https://www.crunchbase.com/organization/intelex,"SaaS, Software, Training","Toronto, Ontario, Canada","Environment, Safety and Quality Software","1,818"
Infusionsoft,https://www.crunchbase.com/organization/infusionsoft,"CRM, Email Marketing, Enterprise Software, Marketing Automation, Small and Medium Businesses","Chandler, Arizona, United States","Infusionsoft provides sales and marketing automation software for small businesses that combines CRM, email marketing and e-commerce.","1,882"
IronNet Cybersecurity,https://www.crunchbase.com/organization/ironnet-cybersecurity,"Computer, Cyber Security, Network Security","Fulton, Maryland, United States",IronNet Cybersecurity is a network security company that bridges gap between traditional cybersecurity approaches and evolving threat.,"1,890"
IBM,https://www.crunchbase.com/organization/ibm,"Collaboration, Computer, Consulting, CRM, Enterprise Software, Information Services, Information Technology, Software","Armonk, New York, United States","IBM is an IT technology and consulting firm providing computer hardware, software, and infrastructure and hosting services.","1,898"
Innovid,https://www.crunchbase.com/organization/innovid,"Ad Targeting, Advertising Platforms, Internet, Publishing, Video","New York, New York, United States","Innovid is the world’s leading video marketing platform for advertisers to create, deliver and measure video experiences on any device.","1,939"
Instarem,https://www.crunchbase.com/organization/instarem,"Financial Services, FinTech","Singapore, Central Region, Singapore",InstaReM is a fintech-based digital international money transfer startup,"1,966"
iFood,https://www.crunchbase.com/organization/ifood,"Delivery, E-Commerce, Mobile, Restaurants","São Paulo, Alagoas, Brazil",iFood is a mobile platform in Latin America wherein customers can find and order food from restaurants.,"2,026"
Imagen Technologies,https://www.crunchbase.com/organization/imagentechnologies,"Health Care, Health Diagnostics, Hospital","New York, New York, United States",Imagine a world where all patients are diagnosed instantly by leading experts.,"2,031"
InMoment,https://www.crunchbase.com/organization/mindshare-technologies,"Enterprise Software, SaaS","Salt Lake City, Utah, United States",InMoment provides SaaS-based customer survey and enterprise feedback management solutions for data collection activities.,"2,068"
iwoca,https://www.crunchbase.com/organization/iwoca,"Credit, Finance, FinTech, Lending","London, England, United Kingdom","iwoca provides short-term finance to SMEs based in the U.K., Poland, Spain, and Germany.","2,106"
InteraXon (Muse),https://www.crunchbase.com/organization/interaxon,"Database, Fitness, Hardware, Software","Toronto, Ontario, Canada","A platform that leverages the world’s largest database of brain activity to help people live happier, healthier lives.","2,180"
IndusInd Bank,https://www.crunchbase.com/organization/indusind-bank,"Banking, Financial Services, FinTech","Gurgaon, Haryana, India",IndusInd Bank is a Mumbai-based Indian new generation bank established in 1994.,"2,181"
InsideSales.com,https://www.crunchbase.com/organization/insidesales-com,"Analytics, Artificial Intelligence, Big Data, Enterprise Software, Lead Management, Machine Learning, Predictive Analytics, SaaS, Sales Automation","Provo, Utah, United States",InsideSales.com offers sales acceleration platform built on a predictive and prescriptive self-learning engine.,"2,184"
InsideView,https://www.crunchbase.com/organization/insideview,"CRM, Enterprise Software, Lead Generation, Marketing","San Francisco, California, United States","InsideView provides a suite of software solutions for sales and marketing leaders, delivering critical intelligence directly into CRM.","2,240"
Industrious,https://www.crunchbase.com/organization/industrious-office,"Communities, Construction, Coworking, Hospitality, Interior Design, Internet","Brooklyn, New York, United States","Industrious is a premium workplace platform, blending five-star service and stunning design to provide an unparalleled workplace experience.","2,269"
ION Investment Group,https://www.crunchbase.com/organization/ion-investment-group,"Electronics, Financial Services, Risk Management","Dublin, Dublin, Ireland","A Dublin, Ireland-based provider of l software to financial institutions and corporations","2,296"
Instart,https://www.crunchbase.com/organization/instart-logic,"Advertising, Cloud Computing, Cyber Security, Digital Marketing, Digital Media, Internet, Mobile, Software","Palo Alto, California, United States","Instart helps hundreds of leading enterprises around the world deliver a faster, safer and more profitable digital experience.","2,324"
InTouch Health,https://www.crunchbase.com/organization/intouch-health,"Health Care, Medical, Medical Device","Santa Barbara, California, United States",InTouch Health is the leader in Acute Care Telemedicine solutions.,"2,329"
Invenergy,https://www.crunchbase.com/organization/invenergy,"Energy, Energy Efficiency, Finance, Renewable Energy","Chicago, Illinois, United States","Invenergy develops, builds, owns and operates energy generation projects in North America and Europe.","2,344"
iPass,https://www.crunchbase.com/organization/ipass,"Enterprise Software, Information Technology, Mobile","Redwood Shores, California, United States",iPass is a  provider of global mobile connectivity,"2,355"
Intellia Therapeutics,https://www.crunchbase.com/organization/intellia-therapeutics,"Biotechnology, Genetics, Health Care, Medical","Cambridge, Massachusetts, United States",Intellia Therapeutics was formed in 2014 to lead the industry in one of the most promising new areas of therapeutic development,"2,399"
"Insikt, Inc.",https://www.crunchbase.com/organization/insikt-inc-,"Banking, Consumer, Finance, Financial Services, FinTech, Software, Venture Capital","San Francisco, California, United States",Insikt is reinventing the world of fintech with a revolutionary platform enabling brands to lend to customers through Lending as a Service.,"2,429"
Iterable,https://www.crunchbase.com/organization/iterable,"Email Marketing, Enterprise Software, Internet, Marketing Automation, Mobile","San Francisco, California, United States",Iterable is a growth marketing and user engagement platform.,"2,432"
Indochino,https://www.crunchbase.com/organization/indochino,"E-Commerce, Fashion, Retail","Vancouver, British Columbia, Canada","Indochino is a global retail pioneer in made to measure menswear, offering suits and shirts plus accessories online or in showrooms.","2,440"
INSIDER.,https://www.crunchbase.com/organization/sociaplus,"Big Data, Data Mining, Mobile Apps, Personalization, Predictive Analytics","Singapore, Central Region, Singapore",Insider is a Growth Management Platform for digital marketers.,"2,443"
i.am+,https://www.crunchbase.com/organization/i-am-plus-electronics,"Artificial Intelligence, Fashion, Hardware, Software, Virtual Assistant","Los Angeles, California, United States",i.am+ designs and manufactures wearable products.,"2,489"
Inshorts,https://www.crunchbase.com/organization/news-in-shorts,"Digital Media, Internet, News","New Delhi, Delhi, India",Inshorts is an app based product that sends out news stories in 60 word bites for busy and uninspired readers.,"2,502"
iNurture,https://www.crunchbase.com/organization/inurture,"Education, Higher Education, Mobile","Bangalore, Karnataka, India",iNurture Education Solutions provides industry relevant courses that are suitable for undergraduates and postgraduates.,"2,564"
Imperfect Produce,https://www.crunchbase.com/organization/imperfect-produce,"Consumer, Delivery Service, Food and Beverage","Oakland, California, United States","Imperfect Produce is the leading consumer brand and home delivery service for ugly produce. Based in Emeryville, CA","2,573"
iCapital Network,https://www.crunchbase.com/organization/icapital-network,"Asset Management, E-Commerce, Financial Services, FinTech","New York, New York, United States",Simplified access to alternative investments,"2,585"
Inkling Systems,https://www.crunchbase.com/organization/inkling-inc,"Android, Corporate Training, Enterprise Software, iOS, Mobile, Publishing, Software","San Francisco, California, United States","Inkling is a single system that lets teams create great content, share it on any digital device, and measure how it's being used.","2,676"
iflix,https://www.crunchbase.com/organization/iflix,"Digital Entertainment, Internet, Video Streaming","Kuala Lumpur, Kuala Lumpur, Malaysia",iflix is the world’s leading entertainment service for emerging markets.,"2,703"
Infoworks,https://www.crunchbase.com/organization/infoworks,"Analytics, Big Data, Cloud Computing, Data Integration, Enterprise Software, Software","Palo Alto, California, United States","Infoworks automates the creation & operation of big data workflows from source to consumption, implementing customers to production in days.","2,746"
InAuth,https://www.crunchbase.com/organization/inauth,"Android, Cyber Security, Fraud Detection, iOS, Mobile, Mobile Payments","Boston, Massachusetts, United States","InAuth helps organizations limit risk, remove friction, and reduce fraud within their digital channels.","2,765"
InstaMed,https://www.crunchbase.com/organization/instamed,"Banking, Cloud Computing, Finance, FinTech, Health Care","Philadelphia, Pennsylvania, United States","InstaMed simplifies every healthcare clearinghouse and payment transaction for providers and payers, all in one place.","2,772"
Instabase,https://www.crunchbase.com/organization/instabase,"Cloud Computing, Information Technology, Software","San Francisco, California, United States","Mission: To advance the state of the art by building tools that help people solve problems, make discoveries, and create new breakthroughs.","2,800"
IfOnly,https://www.crunchbase.com/organization/ifonly,"E-Commerce, Marketplace, Retail, Retail Technology","San Francisco, California, United States",IfOnly is a marketplace for incredible experiences with top luminaries. ,"2,866"
INFINIDAT,https://www.crunchbase.com/organization/infinidat,"Big Data, Cloud Infrastructure, Data Center, Information Technology","Herzliya, Tel Aviv, Israel",INFINIDAT provides next generation enterprise proven flash-optimized storage at a disruptive price point.,"2,923"
Indigo Fair,https://www.crunchbase.com/organization/indigo-fair,"E-Commerce, Marketplace, Retail, Retail Technology","San Francisco, California, United States",Indigo Fair helps retailers find and buy wholesale merchandise for their stores.,"2,944"
Innovium Inc,https://www.crunchbase.com/organization/innovium-inc,"Hardware, Information Technology, Product Design, Software","San Jose, California, United States",Innovium is a provider of networking solutions for data centers.,"2,974"
illusive networks,https://www.crunchbase.com/organization/illusive-networks,"Computer, Cyber Security, Network Security, Software","Tel Aviv-yafo, Tel Aviv, Israel","Allows security teams to preemptively harden networks against advanced attackers, stop targeted attacks, and resolve incidents quickly. ","2,977"
InstaVR,https://www.crunchbase.com/organization/candlify-technologies,"Information Technology, Virtual Reality, Wearables","San Francisco, California, United States","Create, publish and analyse VR app in minutes","2,985"
Immediately,https://www.crunchbase.com/organization/immediately,"Email, Marketing, SaaS","San Francisco, California, United States",Helping salespeople spend more time selling,"2,995"
Ionic Security,https://www.crunchbase.com/organization/ionic-security,"Cyber Security, Information Technology, Intellectual Property, Security","Atlanta, Georgia, United States","Ionic Security, a data security platform, provides access control, intellectual property monitoring, data encryption, and policy management.","3,072"
Impact Biomedicines,https://www.crunchbase.com/organization/impact-biomedicines,"Biotechnology, Health Care, Medical","San Diego, California, United States",Impact Biomedicines is pioneering the development of life-changing treatments for patients.,"3,086"
iTutorGroup,https://www.crunchbase.com/organization/tutorgroup,"E-Learning, Education, Internet, Language Learning","Shanghai, Shanghai, China","iTutorGroup is an online education company that provides individualized, personalized learning experiences.","3,119"
Instapage,https://www.crunchbase.com/organization/instapage-com,"Advertising, B2B, SaaS, Software","San Francisco, California, United States","Instapage helps advertisers increase conversions by enabling the creation, personalization, and optimization of landing pages at scale.","3,131"
IndianRoots,https://www.crunchbase.com/organization/indianroots,"E-Commerce, Fashion","Gurgaon, Haryana, India","Indianroots is an online shopping site that offers a range of apparel, home products, and accessories.","3,211"
IMVU,https://www.crunchbase.com/organization/imvu,"3D Technology, Gaming, Social Media, Virtual Currency","Redwood City, California, United States","IMVU is a social entertainment website where members use 3D avatars to meet new people, play games, and develop online communities.","3,241"
Ivalua,https://www.crunchbase.com/organization/ivalua,"Financial Services, Procurement, Software","Redwood City, California, United States",Ivalua provides web-based spend management solutions that offers a modular suite covering the Spend Management spectrum.,"3,252"
InfoScout,https://www.crunchbase.com/organization/shoparoo,"Analytics, Brand Marketing, Market Research","San Francisco, California, United States",InfoScout provides real world analytics by using mobile technology to capture purchase behavior in the offline world.,"3,307"
imToken,https://www.crunchbase.com/organization/imtoken,"Blockchain, Ethereum, Information Technology","Hangzhou, Zhejiang, China",Hangzhou based Blockchain company.,"3,308"
"Inertial Sense, INC",https://www.crunchbase.com/organization/inertial-sense-llc,"Autonomous Vehicles, Drones, GPS, Hardware, Motion Capture, Navigation, Robotics","Salem, Utah, United States",Inertial Sense provides high precision micro-navigation solutions for a world that is beginning to move on its own.,"3,329"
Insight Engines,https://www.crunchbase.com/organization/insight-engines-inc,"Big Data, Cyber Security, Enterprise Software, Information Technology, Natural Language Processing","San Francisco, California, United States",Making machine data accessible to everyone via natural language processing,"3,352"
iAnthus Capital Holdings,https://www.crunchbase.com/organization/ianthus-capital-holdings,Venture Capital,"New York, New York, United States", iAnthus provides a unique combination of capital and hands-on operating and management expertise.,"3,361"
infiBond,https://www.crunchbase.com/organization/infibond,"Artificial Intelligence, Machine Learning, Psychology","Tel Aviv, Tel Aviv, Israel",Infi’s technology enables machines to process emotion and replicate the psychological functioning of the human brain.,"3,388"
iAdvize,https://www.crunchbase.com/organization/iadvize,"Advertising, Customer Service, E-Commerce, Marketing, Social Media, Telecommunications","Nantes, Pays de la Loire, France",iAdvize is a conversational marketing platform that connects customers in need of advice with experts who are available 24/7 via messaging. ,"3,399"
Invaluable,https://www.crunchbase.com/organization/invaluable,"Art, E-Commerce, Internet","Allston, Massachusetts, United States","Invaluable is the world's leading online marketplace for fine art, antiques and collectibles.","3,451"
IBS Software Services,https://www.crunchbase.com/organization/ibs-software-services-p,"Information Services, Information Technology, Software","Thiruvananthapuram, Kerala, India","IBS Software is a leading global provider of new generation IT solutions to the global Travel, Transportation and Logistics industry.","3,453"
Invoice2go,https://www.crunchbase.com/organization/invoice2go,"Apps, FinTech, Mobile, Mobile Payments, Small and Medium Businesses, Software","North Sydney, New South Wales, Australia",Mobile app that makes it effortless for small business owners to track work and get paid.,"3,479"
Idio,https://www.crunchbase.com/organization/idio,"Artificial Intelligence, B2B, CRM, Marketing Automation, Personalization, Predictive Analytics, Semantic Web, Software, Video","London, England, United Kingdom",Idio.ai learns from each buyer interaction to improve omni-channel engagement and accelerate demand at B2B enterprises. ,"3,488"
Ionic Materials,https://www.crunchbase.com/organization/ionic-materials,"Advanced Materials, Battery, Electronics, Manufacturing","Woburn, Massachusetts, United States",A materials technology company.,"3,515"
Intersective,https://www.crunchbase.com/organization/intersective,"Analytics, Artificial Intelligence, E-Learning, Education, Machine Learning","Sydney, New South Wales, Australia",Intersective develops technology and provides services to help educators deliver better experiential learning.,"3,520"
IZEA,https://www.crunchbase.com/organization/izea,"Advertising, Content Creators, Content Marketing, Marketplace","Winter Park, Florida, United States",IZEA creates marketplaces that connect brands with influential content creators and publishers at-scale.,"3,574"
Iterum Therapeutics,https://www.crunchbase.com/organization/iterum-therapeutics,"Medical, Pharmaceutical, Therapeutics","Dublin, Dublin, Ireland",Iterum Therapeutics Limited is an Ireland-based clinical-stage pharmaceutical company,"3,591"
Infarm,https://www.crunchbase.com/organization/infarm,"Agriculture, AgTech, Farmers Market, Farming","Berlin, Berlin, Germany","Infarm is an urban farming services company that develops farming tech for grocery stores, restaurants, and local distribution centres.","3,605"
Imgur,https://www.crunchbase.com/organization/imgur,"Digital Entertainment, Internet, Social Media","San Francisco, California, United States",Discover the magic of the Internet,"3,615"
Ipsen,https://www.crunchbase.com/organization/ipsen,Biotechnology,"Boulogne-billancourt, Ile-de-France, France","Ipsen S.A. engages in the research, development, manufacture, and sale of pharmaceutical products worldwide.","3,635"
Ironclad,https://www.crunchbase.com/organization/ironclad,"Legal, SaaS","San Francisco, California, United States",Ironclad is the intelligent contract management system for in-house legal teams.,"3,727"
Invoca,https://www.crunchbase.com/organization/invoca,"Advertising, Enterprise Software, Marketing Automation, Telecommunications","Santa Barbara, California, United States",Invoca brings call intelligence to the marketing cloud to help marketers drive inbound calls and turn them into sales.,"3,740"
InSphero,https://www.crunchbase.com/organization/insphero,"Biotechnology, Health Care, Medical","Zürich, Zurich, Switzerland","InSphero is a leading supplier of organotypic, biological, in vitro 3D microtissues for highly predictive drug testing.","3,773"
Intacct,https://www.crunchbase.com/organization/intacct,"Accounting, Cloud Computing, Enterprise Software, Finance, SaaS, Software","San Jose, California, United States",Intacct provides web- or cloud-based financial management and accounting applications for businesses and CPA firms.,"3,783"
Immunocore,https://www.crunchbase.com/organization/immunocore,"Biotechnology, Medical, Pharmaceutical","Abingdon, Oxfordshire, United Kingdom","Immunocore is a privately owned, clinical-stage, UK-based biotechnology company, focused on the discovery and development of novel T cell","3,790"
Insightly,https://www.crunchbase.com/organization/insightly,"CRM, Enterprise Software, Project Management, SaaS, Small and Medium Businesses, Software","San Francisco, California, United States",Insightly is a cloud based and mobile CRM and Project Management app that helps businesses build lifelong customer relationships.,"3,821"
Innit,https://www.crunchbase.com/organization/innit,"Food Processing, Health Care, Information Technology, Nutrition","Redwood City, California, United States","Innit is an ""eating technology"" company that has developed the world's first Connected Food Platform.","3,838"
Intrexon Corporation,https://www.crunchbase.com/organization/intrexon-corporation,"Biotechnology, Life Science, Medical, Therapeutics","Blacksburg, Virginia, United States",Intrexon Corporation is a life sciences company researching and developing bio-therapeutic control systems to minimize toxicity.,"3,886"
iCabbi,https://www.crunchbase.com/organization/icabbi,"Cloud Computing, Enterprise Software, Transportation","Dublin, Dublin, Ireland","iCabbi provides cloud-based taxi dispatch systems that integrate seamlessly with websites, booking engines, and mobile booking apps.","3,895"
Infer,https://www.crunchbase.com/organization/infer,"CRM, Enterprise Software, Predictive Analytics, SaaS","Mountain View, California, United States",Infer provides a predictive SaaS platform that helps businesses win more customers,"3,955"
INCORTA,https://www.crunchbase.com/organization/incorta,"Business Intelligence, Information Technology, Service Industry","San Mateo, California, United States","Incorta gives you visibility into all of your business activities, removing the fear of the unknown.","3,982"
